id,score,year,name
201506,0.012242551,2015,Sara Errani
201662,0.011058143,2015,Karolina Pliskova
201594,0.010857595,2015,Simona Halep
201493,0.009851538,2015,Angelique Kerber
201474,0.009707628,2015,Agnieszka Radwanska
200033,0.009377709,2015,Serena Williams
203533,0.009376479,2015,Anna Karolina Schmiedlova
201496,0.009149494,2015,Caroline Wozniacki
200748,0.009093988,2015,Venus Williams
201347,0.008453103,2015,Jelena Jankovic
201490,0.008288236,2015,Timea Bacsinszky
201520,0.008271091,2015,Petra Kvitova
202494,0.008037531,2015,Elina Svitolina
201345,0.007963836,2015,Maria Sharapova
202505,0.007914628,2015,Belinda Bencic
201540,0.007679142,2015,Kristina Mladenovic
201366,0.007461664,2015,Barbora Zahlavova Strycova
201499,0.007434282,2015,Anastasia Pavlyuchenkova
201325,0.007393854,2015,Samantha Stosur
201521,0.00739078,2015,Carla Suarez Navarro
201492,0.007199171,2015,Andrea Petkovic
202469,0.006932588,2015,Garbine Muguruza
201425,0.006887745,2015,Lucie Safarova
201311,0.006835839,2015,Roberta Vinci
201585,0.006805919,2015,Sloane Stephens
201619,0.006559656,2015,Madison Keys
201421,0.006551626,2015,Ana Ivanovic
201593,0.006449417,2015,Irina Camelia Begu
202429,0.006208804,2015,Camila Giorgi
201596,0.006056961,2015,Johanna Larsson
201320,0.006032368,2015,Svetlana Kuznetsova
201614,0.005977124,2015,Caroline Garcia
201355,0.005895024,2015,Flavia Pennetta
201505,0.005802655,2015,Ekaterina Makarova
201458,0.005697813,2015,Victoria Azarenka
201427,0.005426429,2015,Alize Cornet
201512,0.005416231,2015,Monica Niculescu
201498,0.005405909,2015,Karin Knapp
201621,0.005364699,2015,Mona Barthel
201483,0.005206878,2015,Madison Brengle
200002,0.00514811,2015,Mirjana Lucic
201615,0.005024315,2015,Lesia Tsurenko
201555,0.004866957,2015,Polona Hercog
201513,0.004862599,2015,Sabine Lisicki
201610,0.004846508,2015,Zarina Diyas
201556,0.004661798,2015,Lucie Hradecka
201587,0.004636574,2015,Bojana Jovanovski
202470,0.004626703,2015,Annika Beck
201535,0.004620038,2015,Coco Vandeweghe
201597,0.004605452,2015,Kurumi Nara
201586,0.004485551,2015,Heather Watson
201539,0.004483839,2015,Christina Mchale
201478,0.004438971,2015,Varvara Lepchenko
202694,0.004419961,2015,Teliana Pereira
201611,0.004277207,2015,Daria Gavrilova
201504,0.004197485,2015,Julia Goerges
201548,0.004122443,2015,Ajla Tomljanovic
201595,0.004090703,2015,Misaki Doi
201450,0.004041969,2015,Tsvetana Pironkova
202418,0.004004934,2015,Lara Arruabarrena
201495,0.003999969,2015,Dominika Cibulkova
201518,0.00394238,2015,Yanina Wickmayer
201693,0.003930206,2015,Timea Babos
202421,0.003783469,2015,Alison Van Uytvanck
202653,0.003765855,2015,Denisa Allertova
201457,0.003755249,2015,Jarmila Gajdosova
201616,0.003725118,2015,Lauren Davis
203575,0.003698004,2015,Danka Kovinic
201468,0.003664084,2015,Yaroslava Shvedova
201620,0.003633153,2015,Monica Puig
201290,0.003616394,2015,Daniela Hantuchova
201567,0.003604957,2015,Alexandra Dulgheru
201465,0.003601994,2015,Kirsten Flipkens
201318,0.003576437,2015,Bethanie Mattek Sands
201517,0.003525771,2015,Magdalena Rybarikova
211701,0.003517059,2015,Katerina Siniakova
202506,0.003400804,2015,Margarita Gasparyan
202434,0.003329511,2015,Aleksandra Krunic
204431,0.003322353,2015,Anna Lena Friedsam
201604,0.003270701,2015,Irina Falconi
202671,0.003238144,2015,Cristina Andreea Mitu
202489,0.00316117,2015,Carina Witthoeft
201516,0.003123164,2015,Evgeniya Rodina
211951,0.003087242,2015,Ana Konjuh
201523,0.003051613,2015,Marina Erakovic
202499,0.00291398,2015,Donna Vekic
201590,0.002843273,2015,Alison Riske
202446,0.002843094,2015,Eugenie Bouchard
201531,0.002824997,2015,Mariana Duque Marino
202427,0.002805145,2015,Johanna Konta
201466,0.002799329,2015,Kaia Kanepi
201709,0.002768024,2015,Yulia Putintseva
202428,0.002702454,2015,Kiki Bertens
201344,0.002702024,2015,Klara Koukalova
201348,0.002546078,2015,Casey Dellacqua
202702,0.002533624,2015,Tereza Smitkova
202504,0.00251132,2015,Ying Ying Duan
213583,0.002459767,2015,Tatjana Maria
206404,0.00245756,2015,Elizaveta Kulichkova
202663,0.002424729,2015,Magda Linette
201455,0.002384315,2015,Elena Vesnina
201524,0.002370341,2015,Urszula Radwanska
201329,0.002360522,2015,Vera Zvonareva
202453,0.002321457,2015,Saisai Zheng
201527,0.002317027,2015,Stefanie Voegele
201212,0.002247363,2015,Francesca Schiavone
201444,0.002209286,2015,Su Wei Hsieh
202684,0.002118767,2015,Lin Zhu
203500,0.002082476,2015,Sachia Vickery
201588,0.002051299,2015,Anna Tatishvili
201648,0.002024302,2015,Naomi Broady
211533,0.001980776,2015,Jelena Ostapenko
201435,0.001961245,2015,Kateryna Bondarenko
214082,0.001949555,2015,Darya Kasatkina
204426,0.00193919,2015,Anett Kontaveit
205925,0.00193246,2015,Aliaksandra Sasnovich
201668,0.001918498,2015,Alexandra Panova
201696,0.001914356,2015,Laura Siegemund
201397,0.00180367,2015,Shuai Peng
201545,0.00180365,2015,Anastasija Sevastova
202705,0.001772347,2015,Veronica Cepede Royg
201501,0.001765216,2015,Olga Govortsova
202498,0.001636574,2015,Julia Glushko
202490,0.001540232,2015,Rebecca Peterson
206255,0.001535855,2015,Patricia Maria Tig
201603,0.001534692,2015,Shelby Rogers
201402,0.001508855,2015,Sesil Karatantcheva
203462,0.001499827,2015,Kateryna Kozlova
200043,0.001387998,2015,Virginie Razzano
211702,0.001373366,2015,Nao Hibino
204427,0.001355504,2015,Sara Sorribes Tormo
201533,0.001337949,2015,Shuai Zhang
202450,0.001239864,2015,Jana Cepelova
201640,0.001237498,2015,Maria Teresa Torro Flor
201452,0.001233268,2015,Lourdes Dominguez Lino
202484,0.001227835,2015,Nicole Gibbs
201562,0.001168903,2015,Silvia Soler Espinosa
201599,0.001159681,2015,Andrea Hlavackova
214263,0.001154723,2015,Catherine Cartan Bellis
203518,0.001144567,2015,Paula Kania
202430,0.001093979,2015,Alize Lim
